capt.ID	season	year	visit	cave	length
C968EF	august	2015	NA	C10	134
C96EA2	august	2015	NA	C10	112
4EE1C2	august	2013	1	C1	108
C96EA2	august	2016	1	C10	117
C96EA2	august	2014	1	C10	110
C96EA2	june	2017	2	C10	121
C96EA2	august	2017	1	C10	125
C96EA2	august	2017	2	C10	126
C97614	august	2012	1	C10	116
C97FDC	june	2015	1	C10	115
C97FDC	june	2014	1	C10	117
C97FDC	august	2015	NA	C10	115
C97FDC	august	2012	1	C10	110
C97FDC	august	2015	NA	C10	116
C97FDC	june	2016	1	C10	115
4EE1C2	june	2013	2	C1	105
4EE3FA	august	2013	1	C1	115
C97FDC	august	2014	1	C10	116
C98C09	august	2014	1	C10	110
4EE3FA	june	2013	2	C1	112
C98C09	august	2012	1	C10	100
4EE902	august	2013	1	C1	140
C98C09	august	2015	NA	C10	111
C98C09	august	2015	NA	C10	112
C98CC7	august	2015	NA	C10	115
C98CC7	august	2014	1	C10	110
C98D32	august	2012	1	C10	92
C98D32	august	2012	1	C10	100
C98D32	june	2016	1	C10	109
C98D32	august	2014	1	C10	99
C98F33	june	2015	1	C10	103
C98F33	august	2015	NA	C10	105
052720	june	2014	2	C11	72
052720	august	2015	NA	C11	90
052720	june	2016	1	C11	96
052720	august	2017	1	C11	113
052773	august	2014	1	C11	113
052778	august	2014	1	C11	79
052778	august	2015	NA	C11	87
052778	august	2016	2	C11	99
052778	june	2017	1	C11	106
052778	august	2017	1	C11	114
052778	august	2017	2	C11	115
052826	june	2014	2	C11	106
052840	june	2014	2	C11	73
052840	june	2015	1	C11	83
052840	june	2016	2	C11	98
052840	august	2016	1	C11	102
4EEAB1	august	2013	1	C1	123
4EE013	august	2013	1	C1	120
052840	august	2016	2	C11	103
052859	june	2014	2	C11	68
4EF922	august	2013	1	C1	122
052873	june	2014	2	C11	105
052873	august	2014	1	C11	105
052873	june	2015	2	C11	106
052873	june	2016	1	C11	108
052891	august	2014	1	C11	105
052891	june	2015	1	C11	105
6D8497	august	2013	2	C1	107
052891	june	2015	2	C11	106
052891	august	2015	NA	C11	107
052899	august	2014	1	C11	117
052928	june	2016	1	C11	48
052961	august	2015	NA	C11	85
052961	august	2016	1	C11	102
052961	august	2016	2	C11	101
052961	august	2014	1	C11	70
052961	june	2017	1	C11	108
053308	june	2014	2	C11	114
053308	june	2015	1	C11	114
053308	june	2015	2	C11	113
6DA1A7	june	2013	1	C1	52
053308	august	2016	1	C11	125
C964B6	august	2013	2	C1	113
053308	august	2014	1	C11	115
053308	june	2017	2	C11	132
053308	august	2017	1	C11	138
053310	june	2014	2	C11	68
053310	june	2015	2	C11	85
053310	august	2015	NA	C11	93
053310	august	2016	1	C11	111
053310	august	2016	2	C11	113
053310	june	2017	1	C11	117
053310	august	2017	1	C11	121
053414	june	2014	1	C11	86
053414	june	2015	1	C11	95
053414	june	2015	2	C11	97
053414	august	2016	1	C11	110
053414	august	2016	2	C11	110
053414	august	2014	1	C11	91
053414	june	2017	1	C11	116
053414	june	2017	2	C11	118
053414	august	2017	2	C11	126
123857	august	2017	1	C11	61
123857	august	2017	2	C11	58
123943	august	2017	2	C11	61
158502	june	2016	2	C11	99
158509	june	2016	2	C11	72
158541	june	2017	1	C11	75
158544	august	2016	2	C11	64
158555	august	2017	1	C11	95
655100	june	2016	1	C11	72
C96CE7	august	2013	1	C1	116
655100	june	2016	2	C11	73
655100	august	2016	2	C11	83
655100	august	2017	1	C11	105
655100	august	2017	2	C11	105
655229	august	2015	NA	C11	67
655229	june	2016	2	C11	77
C971B4	august	2013	1	C1	106
C974EE	august	2013	1	C1	125
655229	august	2016	1	C11	87
C97F47	august	2013	1	C1	113
C9868D	august	2013	1	C1	128
655229	june	2017	2	C11	98
655289	june	2015	2	C11	78
655289	august	2015	NA	C11	83
655289	august	2015	NA	C11	84
655289	june	2016	2	C11	95
655289	june	2017	1	C11	108
655312	august	2015	NA	C11	76
655351	june	2015	1	C11	114
655351	june	2015	2	C11	115
655373	june	2015	1	C11	129
655373	june	2015	2	C11	127
655381	june	2016	1	C11	117
C98F91	august	2013	1	C1	99
655385	june	2016	1	C11	49
655403	august	2015	NA	C11	70
655403	august	2016	1	C11	94
655403	august	2016	2	C11	94
655404	june	2015	1	C11	67
655404	august	2015	NA	C11	75
655404	august	2016	2	C11	103
655407	august	2016	1	C11	106
655407	august	2016	2	C11	106
655407	june	2017	2	C11	107
655413	june	2015	1	C11	88
655491	june	2016	1	C11	101
0726272	august	2016	1	C11	54
0726272	august	2016	2	C11	53
897766	june	2017	2	C11	95
897766	august	2017	1	C11	105
897775	august	2017	1	C11	84
897775	august	2017	2	C11	85
897793	june	2017	1	C11	74
897821	august	2017	1	C11	122
897863	june	2017	2	C11	75
897863	august	2017	1	C11	87
897866	august	2017	2	C11	83
897870	june	2017	2	C11	75
897870	august	2017	1	C11	89
897870	august	2017	2	C11	88
897914	june	2017	2	C11	80
C980FD	august	2013	1	C1	108
183143	august	2013	2	C10	145
182C34	august	2013	2	C10	132
897914	august	2017	1	C11	89
897914	august	2017	2	C11	89
897932	august	2017	1	C11	100
897960	august	2016	2	C11	80
183CB4	august	2013	2	C10	115
186DE4	august	2013	2	C10	148
897968	june	2017	2	C11	106
897979	june	2017	1	C11	73
897979	august	2017	1	C11	82
897979	august	2017	2	C11	83
1053414	august	2015	NA	C11	100
1144832	june	2016	2	C11	48
1275648	june	2015	2	C11	58
1499264	august	2016	2	C11	61
1821568	august	2016	1	C11	59
1821568	august	2016	2	C11	60
2428800	june	2016	1	C11	43
2680704	august	2016	1	C11	55
2680704	august	2016	2	C11	55
2680704	june	2017	2	C11	69
3485568	june	2015	2	C11	64
3485568	august	2015	NA	C11	71
5675520	august	2015	NA	C11	57
7283840	august	2015	NA	C11	60
9023360	june	2017	1	C11	62
9425152	june	2015	2	C11	56
9425152	august	2015	NA	C11	62
182C85	august	2015	NA	C11	109
184A7D	june	2014	2	C11	110
184B30	june	2014	2	C11	103
184B30	june	2015	1	C11	103
184B30	august	2014	1	C11	104
18527B	june	2014	2	C11	121
1877A0	august	2015	NA	C11	113
1877A0	june	2016	1	C11	115
4ED9A2	june	2015	1	C11	90
4ED9A2	june	2015	2	C11	90
4EDA27	august	2012	1	C11	51
4EDE35	august	2012	1	C11	96
4EDE3A	august	2012	1	C11	112
4EDEA8	august	2012	1	C11	116
4EE059	august	2012	1	C11	128
4EE08B	august	2012	1	C11	108
4EE16F	august	2012	1	C11	114
4EE16F	august	2014	1	C11	115
4EE36E	august	2012	1	C11	70
4EE36E	june	2014	1	C11	77
4EE36E	june	2016	2	C11	94
4EE397	august	2012	1	C11	107
4EE397	june	2014	2	C11	115
4EE397	june	2015	2	C11	118
4EE397	august	2015	NA	C11	112
4EE3BB	august	2012	1	C11	89
4EE3BB	june	2014	2	C11	95
4EE40A	august	2012	1	C11	98
4EE40A	june	2014	2	C11	101
4EE5C6	august	2012	1	C11	64
4EE74D	august	2012	1	C11	96
4EE819	june	2014	2	C11	79
4EE819	august	2014	1	C11	85
4EE819	august	2015	NA	C11	96
4EE819	august	2015	NA	C11	95
4EE82A	august	2012	1	C11	124
4EE82A	june	2014	1	C11	130
4EE979	august	2012	1	C11	93
4EEB4B	august	2012	1	C11	92
4EEB4B	june	2016	1	C11	115
4EEB4B	june	2016	2	C11	116
4EEB80	august	2012	1	C11	89
4EEC18	august	2012	1	C11	90
4EEC18	august	2012	1	C11	99
4EEC18	june	2015	1	C11	102
4EEC35	august	2012	1	C11	111
4EEC5E	august	2012	1	C11	107
6D6DC8	august	2012	1	C11	103
6D77E1	august	2012	1	C11	123
6D867A	august	2012	1	C11	103
6D867A	august	2012	1	C11	112
6D909B	august	2012	1	C11	81
6D909B	june	2014	2	C11	96
6D909B	august	2014	1	C11	99
6D909B	june	2015	2	C11	100
6D909B	august	2015	NA	C11	101
6DA0C6	august	2012	1	C11	95
6DA0C6	august	2014	1	C11	105
6DA0C6	august	2016	1	C11	120
6DA0C6	june	2017	1	C11	127
C96347	august	2012	1	C11	126
C9675C	august	2012	1	C11	87
C968A4	august	2012	1	C11	104
C970B9	august	2012	1	C11	118
C97362	august	2012	1	C11	82
C974E1	august	2014	1	C11	94
C974E1	june	2015	2	C11	90
C974E1	june	2014	2	C11	115
C975FD	august	2012	1	C11	97
C97815	august	2012	1	C11	103
C97A3E	august	2012	1	C11	112
C97A3E	june	2014	2	C11	111
C97A3E	august	2014	1	C11	111
C97C0F	august	2012	1	C11	81
C97C0F	june	2014	1	C11	94
C97C0F	august	2012	1	C11	94
C97CA3	august	2012	1	C11	102
C97D94	august	2012	1	C11	118
C97DB8	june	2014	2	C11	86
C97DB8	august	2014	1	C11	87
C97DB8	june	2015	1	C11	89
C97DB8	june	2015	2	C11	89
C98B3B	june	2014	2	C11	79
C98B3B	august	2014	1	C11	87
C98B3B	june	2015	1	C11	92
C98B3B	june	2015	2	C11	94
