number	filename	ID	season	year	cave	label	nonatec	tag
4	'IMG_0636.JPG'	CAL12-0308	june	2012	C17b	CAL12-0308	NA	NA
5	'IMG_0637.JPG'	CAL12-0309	june	2012	C17b	CAL12-0309	NA	NA
6	'IMG_0638.JPG'	CAL12-0311	june	2012	C17b	CAL12-0311	NA	NA
7	'IMG_0639.JPG'	CAL12-0312	june	2012	C17b	CAL12-0312	NA	NA
8	'IMG_0640.JPG'	CAL12-0313	june	2012	C17b	CAL12-0313	NA	NA
9	'IMG_0753.JPG'	CAL12-0410	june	2012	C17b	CAL12-0410	NA	NA
1	'IMG_0641.JPG'	CAL12-0314	june	2012	C18	CAL12-0314	NA	NA
2	'IMG_0643.JPG'	CAL12-0315	june	2012	C18	CAL12-0315	NA	NA
3	'IMG_0644.JPG'	CAL12-0316	june	2012	C18	CAL12-0316	NA	NA
4	'IMG_0645.JPG'	CAL12-0317	june	2012	C18	CAL12-0317	NA	NA
5	'IMG_0646.JPG'	CAL12-0318	june	2012	C18	CAL12-0318	NA	NA
6	'IMG_0647.JPG'	CAL12-0319	june	2012	C18	CAL12-0319	NA	NA
7	'IMG_0648.JPG'	CAL12-0320	june	2012	C18	CAL12-0320	NA	NA
8	'IMG_0649.JPG'	CAL12-0321	june	2012	C18	CAL12-0321	NA	NA
9	'IMG_0650.JPG'	CAL12-0322	june	2012	C18	CAL12-0322	NA	NA
10	'IMG_0652.JPG'	CAL12-0323	june	2012	C18	CAL12-0323	NA	NA
11	'IMG_0653.JPG'	CAL12-0324	june	2012	C18	CAL12-0324	NA	NA
12	'IMG_0654.JPG'	CAL12-0325	june	2012	C18	CAL12-0325	NA	NA
13	'IMG_0655.JPG'	CAL12-0326	june	2012	C18	CAL12-0326	NA	NA
14	'IMG_0656.JPG'	CAL12-0327	june	2012	C18	CAL12-0327	NA	NA
15	'IMG_0657.JPG'	CAL12-0328	june	2012	C18	CAL12-0328	NA	NA
16	'IMG_0658.JPG'	CAL12-0329	june	2012	C18	CAL12-0329	NA	NA
17	'IMG_0659.JPG'	CAL12-0332	june	2012	C18	CAL12-0332	NA	NA
18	'IMG_0660.JPG'	CAL12-0333	june	2012	C18	CAL12-0333	NA	NA
19	'IMG_0661.JPG'	CAL12-0334	june	2012	C18	CAL12-0334	NA	NA
20	'IMG_0662.JPG'	CAL12-0335	june	2012	C18	CAL12-0335	NA	NA
21	'IMG_0663.JPG'	CAL12-0336	june	2012	C18	CAL12-0336	NA	NA
22	'IMG_0664.JPG'	CAL12-0337	june	2012	C18	CAL12-0337	NA	NA
23	'IMG_0665.JPG'	CAL12-0338	june	2012	C18	CAL12-0338	NA	NA
24	'IMG_0666.JPG'	CAL12-0339	june	2012	C18	CAL12-0339	NA	NA
25	'IMG_0667.JPG'	CAL12-0340	june	2012	C18	CAL12-0340	NA	NA
1	'IMG_0613.JPG'	CAL12-0286	june	2012	C19	CAL12-0286	NA	NA
2	'IMG_0614.JPG'	CAL12-0287	june	2012	C19	CAL12-0287	NA	NA
3	'IMG_0615.JPG'	CAL12-0288	june	2012	C19	CAL12-0288	NA	NA
4	'IMG_0616.JPG'	CAL12-0289	june	2012	C19	CAL12-0289	NA	NA
5	'IMG_0617.JPG'	CAL12-0290	june	2012	C19	CAL12-0290	NA	NA
6	'IMG_0618.JPG'	CAL12-0291	june	2012	C19	CAL12-0291	NA	NA
7	'IMG_0619.JPG'	CAL12-0292	june	2012	C19	CAL12-0292	NA	NA
8	'IMG_0620.JPG'	CAL12-0293	june	2012	C19	CAL12-0293	NA	NA
9	'IMG_0621.JPG'	CAL12-0294	june	2012	C19	CAL12-0294	NA	NA
10	'IMG_0622.JPG'	CAL12-0295	june	2012	C19	CAL12-0295	NA	NA
11	'IMG_0623.JPG'	CAL12-0296	june	2012	C19	CAL12-0296	NA	NA
12	'IMG_0624.JPG'	CAL12-0297	june	2012	C19	CAL12-0297	NA	NA
13	'IMG_0746.JPG'	CAL12-0403	june	2012	C19	CAL12-0403	NA	NA
14	'IMG_0747.JPG'	CAL12-0404	june	2012	C19	CAL12-0404	NA	NA
15	'IMG_0748.JPG'	CAL12-0405	june	2012	C19	CAL12-0405	NA	NA
16	'IMG_0749.JPG'	CAL12-0406	june	2012	C19	CAL12-0406	NA	NA
17	'IMG_0750.JPG'	CAL12-0407	june	2012	C19	CAL12-0407	NA	NA
18	'IMG_0751.JPG'	CAL12-0408	june	2012	C19	CAL12-0408	NA	NA
19	'IMG_0752.JPG'	CAL12-0409	june	2012	C19	CAL12-0409	NA	NA
1	'IMG_0587.JPG'	CAL12-0258	june	2012	C20	CAL12-0258	NA	NA
2	'IMG_0588.JPG'	CAL12-0259	june	2012	C20	CAL12-0259	NA	NA
3	'IMG_0589.JPG'	CAL12-0260	june	2012	C20	CAL12-0260	NA	NA
4	'IMG_0590.JPG'	CAL12-0262	june	2012	C20	CAL12-0262	NA	NA
5	'IMG_0591.JPG'	CAL12-0264	june	2012	C20	CAL12-0264	NA	NA
6	'IMG_0592.JPG'	CAL12-0265	june	2012	C20	CAL12-0265	NA	NA
7	'IMG_0593.JPG'	CAL12-0266	june	2012	C20	CAL12-0266	NA	NA
8	'IMG_0594.JPG'	CAL12-0267	june	2012	C20	CAL12-0267	NA	NA
9	'IMG_0595.JPG'	CAL12-0268	june	2012	C20	CAL12-0268	NA	NA
10	'IMG_0596.JPG'	CAL12-0269	june	2012	C20	CAL12-0269	NA	NA
11	'IMG_0597.JPG'	CAL12-0270	june	2012	C20	CAL12-0270	NA	NA
12	'IMG_0598.JPG'	CAL12-0271	june	2012	C20	CAL12-0271	NA	NA
13	'IMG_0599.JPG'	CAL12-0272	june	2012	C20	CAL12-0272	NA	NA
14	'IMG_0600.JPG'	CAL12-0273	june	2012	C20	CAL12-0273	NA	NA
15	'IMG_0601.JPG'	CAL12-0274	june	2012	C20	CAL12-0274	NA	NA
16	'IMG_0602.JPG'	CAL12-0275	june	2012	C20	CAL12-0275	NA	NA
17	'IMG_0603.JPG'	CAL12-0276	june	2012	C20	CAL12-0276	NA	NA
18	'IMG_0604.JPG'	CAL12-0277	june	2012	C20	CAL12-0277	NA	NA
19	'IMG_0606.JPG'	CAL12-0278	june	2012	C20	CAL12-0278	NA	NA
20	'IMG_0607.JPG'	CAL12-0279	june	2012	C20	CAL12-0279	NA	NA
21	'IMG_0608.JPG'	CAL12-0280	june	2012	C20	CAL12-0280	NA	NA
