"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"	"date"	"codedate"
"4757"	"151"	"IMG_7571.JPG"	"655324"	"august"	"2015"	"C25"	"CAL15-2724"	"5954816"	"655324"	"2015-2-august"	8
"5196"	"28"	"IMG_5533.jpg"	"655324"	"june"	"2016"	"C25"	"CAL15-2724"	"5954816"	"655324"	"2016-1-june"	9
"4759"	"153"	"IMG_7575.JPG"	"158541"	"august"	"2015"	"C25"	"CAL15-2725"	"6158976"	"158541"	"2015-2-august"	8
"5746"	"92"	"IMG_9708.JPG"	"158541"	"august"	"2016"	"C25"	"CAL15-2725"	"6158976"	"158541"	"2016-2-august"	10
"6186"	"59"	"IMG_2430.JPG"	"158541"	"june"	"2017"	"C25"	"CAL15-2725"	"6158976"	"158541"	"2017-1-june"	11
"6690"	"111"	"IMG_3246.JPG"	"158541"	"august"	"2017"	"C25"	"CAL15-2725"	"6158976"	"158541"	"2017-2-august"	12
"4796"	"190"	"IMG_7615.JPG"	"158517"	"august"	"2015"	"C25"	"CAL15-2737"	"6524416"	"158517"	"2015-2-august"	8
"5263"	"95"	"IMG_9256.JPG"	"158517"	"june"	"2016"	"C25"	"CAL15-2737"	"6524416"	"158517"	"2016-1-june"	9
"6683"	"104"	"IMG_3235.JPG"	"158517"	"august"	"2017"	"C25"	"CAL15-2737"	"6524416"	"158517"	"2017-2-august"	12
"5737"	"83"	"IMG_9699.JPG"	"158517"	"august"	"2016"	"C25"	"CAL15-2737"	"6524416"	"158517"	"2016-2-august"	10
"5954"	"27"	"IMG_2406.JPG"	"655295"	"june"	"2017"	"C7"	NA	NA	"655295"	"2017-1-june"	11
"5200"	"32"	"IMG_5537.jpg"	"5749760"	"june"	"2016"	"C25"	"CAL16-2828"	"5749760"	"5749760"	"2016-1-june"	9
"5683"	"29"	"IMG_0168.JPG"	"5749760"	"august"	"2016"	"C25"	"CAL16-2828"	"5749760"	"5749760"	"2016-2-august"	10
"5904"	"6"	"IMG_1937.JPG"	"5749760"	"june"	"2017"	"C5"	"CAL16-2828"	"5749760"	"5749760"	"2017-1-june"	11
"6324"	"1"	"IMG_2804.JPG"	"5749760"	"august"	"2017"	"C5"	"CAL16-2828"	"5749760"	"5749760"	"2017-2-august"	12
"5249"	"81"	"IMG_9242.JPG"	"9770240"	"june"	"2016"	"C25"	"CAL16-2877"	"9770240"	"9770240"	"2016-1-june"	9
"5684"	"30"	"IMG_0169.JPG"	"9770240"	"august"	"2016"	"C25"	"CAL16-2877"	"9770240"	"9770240"	"2016-2-august"	10
"6150"	"23"	"IMG_2080.JPG"	"9770240"	"june"	"2017"	"C25"	"CAL16-2877"	"9770240"	"9770240"	"2017-1-june"	11
"5250"	"82"	"IMG_9243.JPG"	"2830080"	"june"	"2016"	"C25"	"CAL16-2878"	"2830080"	"2830080"	"2016-1-june"	9
"5767"	"113"	"IMG_9738.JPG"	"2830080"	"august"	"2016"	"C25"	"CAL16-2878"	"2830080"	"2830080"	"2016-2-august"	10
"6132"	"5"	"IMG_2055.JPG"	"2830080"	"june"	"2017"	"C25"	"CAL16-2878"	"2830080"	"2830080"	"2017-1-june"	11
"6593"	"14"	"IMG_2939.JPG"	"2830080"	"august"	"2017"	"C25"	"CAL16-2878"	"2830080"	"2830080"	"2017-2-august"	12
"5270"	"102"	"IMG_9265.JPG"	"897787"	"june"	"2016"	"C25"	"CAL16-2885"	"2615296"	"897787"	"2016-1-june"	9
"6145"	"18"	"IMG_2074.JPG"	"897787"	"june"	"2017"	"C25"	"CAL16-2885"	"2615296"	"897787"	"2017-1-june"	11
"5748"	"94"	"IMG_9711.JPG"	"897799"	"august"	"2016"	"C25"	"CAL16-2959"	"1727872"	"897799"	"2016-2-august"	10
"6129"	"2"	"IMG_2050.JPG"	"897799"	"june"	"2017"	"C25"	"CAL16-2959"	"1727872"	"897799"	"2017-1-june"	11
"5331"	"20"	"IMG_5457.jpg"	"981897"	"june"	"2016"	"C26"	"CAL16-2800"	"3137664"	"981897"	"2016-1-june"	9
"6260"	"20"	"IMG_2515.JPG"	"981897"	"june"	"2017"	"C26"	"CAL16-2800"	"3137664"	"981897"	"2017-1-june"	11
"6697"	"1"	"IMG_3029.JPG"	"981897"	"august"	"2017"	"C26"	"CAL16-2800"	"3137664"	"981897"	"2017-2-august"	12
"5343"	"32"	"IMG_9360.JPG"	"897755"	"june"	"2016"	"C26"	"CAL16-2908"	"5421440"	"897755"	"2016-1-june"	9
"5835"	"18"	"IMG_9824.JPG"	"897755"	"august"	"2016"	"C26"	"CAL16-2908"	"5421440"	"897755"	"2016-2-august"	10
"6257"	"17"	"IMG_2510.JPG"	"897755"	"june"	"2017"	"C26"	"CAL16-2908"	"5421440"	"897755"	"2017-1-june"	11
"6725"	"29"	"IMG_3260.JPG"	"897755"	"august"	"2017"	"C26"	"CAL16-2908"	"5421440"	"897755"	"2017-2-august"	12
"4916"	"11"	"IMG_9320.JPG"	"2032640"	"june"	"2016"	"C5"	"CAL16-2896"	"2032640"	"2032640"	"2016-1-june"	9
"5409"	"10"	"IMG_9563.JPG"	"2032640"	"august"	"2016"	"C5"	"CAL16-2896"	"2032640"	"2032640"	"2016-2-august"	10
"5918"	"20"	"IMG_2373.JPG"	"2032640"	"june"	"2017"	"C5"	"CAL16-2896"	"2032640"	"2032640"	"2017-1-june"	11
"4922"	"17"	"IMG_9326.JPG"	"897953"	"june"	"2016"	"C5"	"CAL16-2898"	"4618880"	"897953"	"2016-1-june"	9
"5903"	"5"	"IMG_1936.JPG"	"897953"	"june"	"2017"	"C5"	"CAL16-2898"	"4618880"	"897953"	"2017-1-june"	11
"6348"	"25"	"IMG_3179.JPG"	"897953"	"august"	"2017"	"C5"	"CAL16-2898"	"4618880"	"897953"	"2017-2-august"	12
"4924"	"19"	"IMG_9328.JPG"	"158555"	"june"	"2016"	"C5"	"CAL16-2899"	"3270272"	"158555"	"2016-1-june"	9
"5425"	"26"	"IMG_9583.JPG"	"158555"	"august"	"2016"	"C5"	"CAL16-2899"	"3270272"	"158555"	"2016-2-august"	10
"6427"	"11"	"IMG_2835.JPG"	"158555"	"august"	"2017"	"C11"	"CAL16-2899"	NA	"158555"	"2017-2-august"	12
"4926"	"21"	"IMG_9330.JPG"	"897789"	"june"	"2016"	"C5"	"CAL16-2900"	"2521984"	"897789"	"2016-1-june"	9
"6328"	"5"	"IMG_2808.JPG"	"897789"	"august"	"2017"	"C5"	"CAL16-2900"	"2521984"	"897789"	"2017-2-august"	12
"4930"	"25"	"IMG_9336.JPG"	"981864"	"june"	"2016"	"C5"	"CAL16-2901"	"5637504"	"981864"	"2016-1-june"	9
"6344"	"21"	"IMG_3175.JPG"	"981864"	"august"	"2017"	"C5"	"CAL16-2901"	"5637504"	"981864"	"2017-2-august"	12
"4313"	"14"	"IMG_7146.JPG"	"655315"	"august"	"2015"	"C7"	"CAL15-2626"	"0866432"	"655315"	"2015-2-august"	8
"4945"	"7"	"IMG_5468.jpg"	"655315"	"june"	"2016"	"C7"	"CAL15-2626"	"0866432"	"655315"	"2016-1-june"	9
"5457"	"25"	"IMG_9647.JPG"	"655315"	"august"	"2016"	"C7"	"CAL15-2626"	"0866432"	"655315"	"2016-2-august"	10
"5929"	"2"	"IMG_2020.JPG"	"655315"	"june"	"2017"	"C7"	"CAL15-2626"	"0866432"	"655315"	"2017-1-june"	11
"4976"	"38"	"IMG_9209.JPG"	"158584"	"june"	"2016"	"C7"	"CAL16-2867"	"1379072"	"158584"	"2016-1-june"	9
"5756"	"102"	"IMG_9721.JPG"	"158584"	"august"	"2016"	"C25"	"CAL16-2867"	"1379072"	"158584"	"2016-2-august"	10
"4979"	"41"	"IMG_9212.JPG"	"158552"	"june"	"2016"	"C7"	"CAL16-2869"	"8561024"	"158552"	"2016-1-june"	9
"5451"	"19"	"IMG_9639.JPG"	"158552"	"august"	"2016"	"C7"	"CAL16-2869"	"8561024"	"158552"	"2016-2-august"	10
"5941"	"14"	"IMG_2037.JPG"	"158552"	"june"	"2017"	"C7"	"CAL16-2869"	"8561024"	"158552"	"2017-1-june"	11
"6367"	"13"	"IMG_2908.JPG"	"158552"	"august"	"2017"	"C7"	"CAL16-2869"	"8561024"	"158552"	"2017-2-august"	12
"5464"	"32"	"IMG_9662.JPG"	"897908"	"august"	"2016"	"C7"	"CAL16-2951"	"6075904"	"897908"	"2016-2-august"	10
"5957"	"30"	"IMG_2409.JPG"	"897908"	"june"	"2017"	"C7"	"CAL16-2951"	"6075904"	"897908"	"2017-1-june"	11
"6370"	"16"	"IMG_2911.JPG"	"897908"	"august"	"2017"	"C7"	"CAL16-2951"	"6075904"	"897908"	"2017-2-august"	12
