"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"236" "4EE707" "august" "2012" 1 "C10" 91 NA
"237" "4EE707" "august" "2015" NA "C10" 105 NA
"238" "4EE707" "august" "2016" 2 "C10" 108 NA
"239" "4EE707" "august" "2014" 1 "C10" 105 NA
"240" "4EE707" "june" "2017" 1 "C10" 108 NA
"241" "4EE8E0" "june" "2015" 1 "C10" 98.5 NA
"242" "4EE8E0" "june" "2014" 1 "C10" 92 NA
"243" "4EE8E0" "august" "2015" NA "C10" 105 NA
"244" "4EE8E0" "june" "2016" 1 "C10" 108 NA
"245" "4EE8E0" "june" "2015" 2 "C10" 102 NA
"246" "4EE8E0" "june" "2017" 1 "C10" 120 NA
"247" "4EEA0C" "june" "2015" 1 "C10" 109 NA
"248" "4EEA0C" "june" "2015" 2 "C10" 107 NA
"249" "4EEC24" "august" "2015" NA "C10" 122 NA
"250" "4EEC24" "june" "2016" 1 "C10" 124 NA
"251" "4EEC24" "june" "2014" 2 "C10" 117 NA
"252" "4EECA3" "june" "2014" 1 "C10" 117 NA
"253" "4EECA3" "august" "2015" NA "C10" 121 NA
"254" "4EECA3" "august" "2017" 1 "C10" 137.5 NA
"255" "4EECF2" "june" "2015" 1 "C10" 104 NA
"256" "4EECF2" "august" "2014" 1 "C10" 101 NA
"257" "4EECF2" "june" "2015" 2 "C10" 104 NA
"258" "4EE071" "august" "2014" 1 "C10" 107 NA
"259" "4EE071" "june" "2015" 2 "C10" 109 NA
"260" "4EFA28" "june" "2015" 1 "C10" 104 NA
"261" "4EDDE4" "august" "2013" 1 "C1" 136 NA
"262" "4EFA28" "august" "2012" 1 "C10" 93 NA
"263" "4EFA28" "august" "2015" NA "C10" 106 NA
"264" "4EFA28" "june" "2016" 2 "C10" 111 NA
"265" "4EFA28" "june" "2014" 2 "C10" 103 NA
"266" "4EFA28" "june" "2017" 1 "C10" 120 NA
"267" "6D5E15" "june" "2014" 1 "C10" 100 NA
"268" "6D5E15" "august" "2015" NA "C10" 103 NA
"269" "6D5E15" "august" "2014" 1 "C10" 100 NA
"270" "6D5E15" "june" "2015" 2 "C10" 101 NA
"271" "6D60D4" "june" "2014" 1 "C10" 126 NA
"272" "6D60D4" "august" "2014" 1 "C10" 138 NA
"273" "6D96D6" "august" "2014" 1 "C10" 104 NA
"274" "6D9D96" "june" "2015" 1 "C10" 108 NA
"275" "6D9D96" "june" "2014" 1 "C10" 100 NA
"276" "6D9D96" "august" "2015" NA "C10" 111.5 NA
"277" "6DA316" "june" "2015" 1 "C10" 135 NA
"278" "6DA316" "august" "2015" NA "C10" 138 NA
"279" "6DA316" "june" "2017" 1 "C10" 145 NA
"280" "C96665" "august" "2014" 1 "C10" 91 NA
"281" "C96665" "august" "2015" NA "C10" 97 NA
"282" "C96665" "june" "2016" 2 "C10" 102 NA
"283" "C96665" "august" "2016" 1 "C10" 108 NA
"284" "C968EF" "june" "2014" 1 "C10" 129 NA
"285" "C968EF" "august" "2015" NA "C10" 134 NA
"286" "C96EA2" "august" "2015" NA "C10" 112 NA
"287" "4EE1C2" "august" "2013" 1 "C1" 108 NA
"288" "C96EA2" "august" "2016" 1 "C10" 117 NA
"289" "C96EA2" "august" "2014" 1 "C10" 110 NA
"290" "C96EA2" "june" "2017" 2 "C10" 121 NA
"291" "C96EA2" "august" "2017" 1 "C10" 125.5 NA
"292" "C97614" "august" "2012" 1 "C10" 116 NA
"293" "C97FDC" "june" "2015" 1 "C10" 115 NA
"294" "C97FDC" "june" "2014" 1 "C10" 117 NA
"295" "C97FDC" "august" "2015" NA "C10" 112.5 NA
"296" "C97FDC" "august" "2015" NA "C10" 116 NA
"297" "C97FDC" "june" "2016" 1 "C10" 115 NA
"298" "4EE1C2" "june" "2013" 2 "C1" 105 NA
